			STT	STT	NT	NT	Cluster	Cluster	XC	XC	BRKGA-STT	BRKGA-Cluster	BRKGA-A	Best Upper Bound	Optimum
Geographic Distribution	case	Instance	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	object funcion value	object funcion value	object funcion value	object funcion value
R	6	3	197.03044	0.010	199.03807	0.000	197.08150	0.000	198.04672	0.000	217.01302	216.01927	217.01325	237.04695	
R	6	4	239.03458	0.005	232.05203	0.000	234.05020	0.000	228.02838	0.000	250.01784	250.01851	250.01741	273.05832	
R	6	5	214.06543	0.010	214.02245	0.000	219.07326	0.000	213.05496	0.000	236.02850	238.02272	235.04005	261.09131	
R	6	6	207.05177	0.000	211.02286	0.005	211.02286	0.000	211.04411	0.000	225.02432	225.02135	225.01459	260.07280	
R	6	7	216.04123	0.000	219.03471	0.000	219.05205	0.000	208.07066	0.000	240.02631	240.02631	238.02333	266.35272	
R	6	8	230.01723	0.000	225.03803	0.000	234.01650	0.000	230.03014	0.005	250.01930	250.01930	252.00693	271.03385	
R	6	9	214.03021	0.000	217.08057	0.000	224.02916	0.000	225.04776	0.000	235.02155	235.02496	235.02458	253.12250	
R	6	10	208.04002	0.005	207.03934	0.000	211.03835	0.005	205.03258	0.000	227.02174	227.01184	225.02385	245.04221	
R	6	11	249.05550	0.010	242.05107	0.000	244.04060	0.000	235.05055	0.000	265.01709	265.02017	264.01279	292.04893	
R	6	12	240.02971	0.005	240.03574	0.005	230.06789	0.000	227.06917	0.000	254.01936	254.02092	254.01936	275.03226	
R	6	13	210.03622	0.005	199.06746	0.000	209.04547	0.000	200.06358	0.000	222.02991	222.03922	224.01979	252.05143	
R	6	14	213.10677	0.000	215.06438	0.000	204.08147	0.000	209.10005	0.000	244.06743	243.05685	240.06387	282.12052	
R	6	15	189.02602	0.000	189.04599	0.000	191.04691	0.000	177.03488	0.005	204.02441	204.02441	204.02441	229.09319	
R	6	16	192.09287	0.005	189.05035	0.000	185.04984	0.005	194.06789	0.000	210.03946	210.03946	210.03946	236.06618	
R	6	17	221.03462	0.000	218.04234	0.000	220.04672	0.000	207.05225	0.000	229.04704	229.03270	229.03270	261.88787	
R	6	18	175.02541	0.000	178.08702	0.000	174.06662	0.000	171.06728	0.000	191.01645	191.02947	191.02264	209.09254	
R	6	19	185.05017	0.000	189.05432	0.000	190.07524	0.000	181.07022	0.000	206.03186	205.04500	205.04500	229.09608	
R	6	20	197.07741	0.005	187.07275	0.005	198.05978	0.000	193.13164	0.000	224.03626	224.03626	222.03925	246.11061	
C	6	1	206.05174	0.010	196.06441	0.000	196.08424	0.000	197.05901	0.000	219.05710	219.05710	219.05710	225.21285	
C	6	2	203.06738	0.015	205.06369	0.000	196.05879	0.000	197.08644	0.000	222.02539	222.01991	222.02539	245.12266	
C	6	3	218.07230	0.015	219.03593	0.000	216.06101	0.005	214.05165	0.005	234.00626	232.02094	234.02121	263.08189	
C	6	4	208.07077	0.010	206.06276	0.000	211.05231	0.000	209.01830	0.000	225.01279	225.01279	224.01239	244.06506	
C	6	5	205.04627	0.005	213.03633	0.000	203.04002	0.000	206.07019	0.000	234.01547	234.01547	234.01547	256.12702	
C	6	6	218.03241	0.005	212.04840	0.000	215.02913	0.000	208.04298	0.000	229.00687	229.01083	229.02113	252.09332	
C	6	7	223.02031	0.000	222.01523	0.000	221.01144	0.000	209.05054	0.000	236.01527	235.01502	236.01195	258.06117	
C	6	8	217.02451	0.010	208.04224	0.005	217.01360	0.000	212.04457	0.000	233.01741	233.02171	232.02239	256.09786	
C	6	9	235.08844	0.000	232.06241	0.000	228.10667	0.005	236.07819	0.000	256.06162	254.05708	257.04669	284.29557	
C	6	10	231.04047	0.010	231.01479	0.000	234.05678	0.000	231.04034	0.005	252.02055	252.02055	251.01740	279.06051	
C	6	11	252.03206	0.000	246.03409	0.000	248.01996	0.000	245.03508	0.000	264.01688	264.00772	264.00763	286.07743	
C	6	12	239.02617	0.005	233.05432	0.000	234.05829	0.000	234.05032	0.000	249.01863	249.01863	249.01654	267.35566	
C	6	13	233.04767	0.000	234.04253	0.000	230.05592	0.000	230.03044	0.000	250.03012	249.04060	248.03867	271.11963	
C	6	14	208.08081	0.000	207.04224	0.000	218.05469	0.000	198.03557	0.005	235.04067	234.05165	234.03928	256.15043	
C	6	15	187.03980	0.000	181.03964	0.005	185.03680	0.005	188.06155	0.000	201.01265	203.01994	202.02950	227.13990	
C	6	16	201.04076	0.010	201.05225	0.000	192.06218	0.000	201.05898	0.000	218.02118	217.02126	218.02118	242.09108	
C	6	17	222.03372	0.015	219.06567	0.000	223.05376	0.000	208.06700	0.000	238.03471	239.01073	238.03223	265.13478	
C	6	18	217.05504	0.000	223.03641	0.000	226.03105	0.000	222.03461	0.000	249.01616	249.01616	245.05177	268.11548	
C	6	19	209.07076	0.015	198.12053	0.000	207.05133	0.000	195.13722	0.000	231.03966	232.03700	232.03700	258.12056	
C	6	20	207.05666	0.010	199.08614	0.000	210.06424	0.000	206.08315	0.000	222.04076	222.05940	221.05177	252.12026	
RC	6	1	141.10512	0.005	148.09274	0.000	148.09274	0.005	137.12183	0.000	153.07852	153.07852	153.07852	155.26044	
RC	6	2	195.07250	0.010	198.03606	0.000	195.07037	0.000	199.03938	0.000	221.05052	221.04332	221.05052	241.13484	
RC	6	3	200.05487	0.010	207.03281	0.000	204.05692	0.000	202.03728	0.005	220.02391	221.01674	220.02309	249.11971	
RC	6	4	216.03050	0.000	210.05190	0.000	213.03976	0.000	211.04523	0.000	235.02950	235.02950	235.02895	260.10803	
RC	6	5	220.03369	0.005	225.05740	0.000	215.03111	0.000	222.02721	0.000	245.04088	245.04088	244.02496	273.11121	
RC	6	6	201.02472	0.000	185.06413	0.000	188.02937	0.000	200.01518	0.000	221.01238	220.02274	220.02274	242.12162	
RC	6	7	212.04776	0.000	214.03066	0.000	217.03925	0.005	210.06944	0.000	235.02069	235.01749	233.02373	260.10197	
RC	6	8	233.02588	0.000	227.01585	0.000	236.03447	0.000	232.06712	0.000	257.02710	258.01663	257.01602	279.07482	
RC	6	9	216.05203	0.000	220.06075	0.000	232.02318	0.000	217.05417	0.000	241.01004	240.03580	239.02261	263.44322	
RC	6	10	206.02480	0.010	205.03713	0.005	204.05330	0.000	207.02409	0.000	222.02043	223.03253	220.02872	256.06544	
RC	6	11	208.05386	0.010	210.01631	0.000	209.04303	0.000	205.03583	0.000	234.02036	235.02010	232.01196	256.07338	
RC	6	12	227.06386	0.000	228.01793	0.000	237.04080	0.000	233.03183	0.000	248.01350	248.01350	248.01331	275.05990	
RC	6	13	186.07921	0.005	198.05216	0.000	197.05153	0.005	199.03737	0.000	212.04123	212.04202	212.04202	238.16234	
RC	6	14	225.09557	0.000	232.10214	0.000	232.10214	0.000	226.09700	0.000	249.04926	249.04678	247.06728	280.11161	
RC	6	15	183.04831	0.000	189.03819	0.000	191.04990	0.000	189.05147	0.000	215.03337	215.03337	215.03337	249.09390	
RC	6	16	216.06516	0.010	226.03343	0.000	222.03497	0.000	216.04012	0.000	242.01312	242.01062	240.05029	275.12984	
RC	6	17	193.09311	0.000	201.07484	0.005	210.03516	0.000	198.06828	0.000	227.03627	227.03627	228.01505	257.69180	
RC	6	18	196.07573	0.000	192.05135	0.000	197.04852	0.005	194.05833	0.000	211.04672	211.04672	211.04254	244.12676	
RC	6	19	203.06361	0.000	204.06995	0.000	195.08090	0.000	192.04703	0.000	221.01598	221.01230	219.03465	242.11951	
RC	6	20	204.05284	0.005	198.01941	0.000	199.06079	0.000	185.05237	0.000	222.04150	222.03198	222.04150	242.17143	
RAD	6	1	174.09366	0.005	199.08585	0.000	204.07440	0.000	183.06500	0.000	213.06999	213.06999	213.06999	221.18541	
RAD	6	2	195.04157	0.005	197.06715	0.000	188.07407	0.000	178.08231	0.005	212.02760	212.02760	211.03388	229.14902	
RAD	6	3	216.05438	0.005	223.05791	0.000	223.05837	0.000	225.04642	0.000	243.02481	244.01790	242.02855	269.13151	
RAD	6	4	223.03899	0.010	223.02936	0.000	227.03156	0.000	208.03200	0.000	235.03186	236.02411	236.02411	261.09481	
RAD	6	5	193.05997	0.000	196.07300	0.005	191.03485	0.000	181.06274	0.000	212.02382	212.02382	210.01987	234.12059	
RAD	6	6	226.03764	0.000	206.06990	0.000	217.04889	0.000	217.03543	0.000	244.01802	245.01126	242.01689	280.11913	
RAD	6	7	216.03609	0.005	210.02693	0.000	209.05058	0.000	205.02269	0.000	227.00928	226.01904	227.01152	255.08764	
RAD	6	8	239.03574	0.005	234.03616	0.000	246.01720	0.000	251.01854	0.005	269.00989	270.00586	266.01090	295.08543	
RAD	6	9	186.04364	0.000	201.04836	0.000	195.05170	0.000	194.06061	0.000	216.03293	218.01907	216.01914	248.09874	
RAD	6	10	179.07372	0.010	194.03206	0.000	184.03511	0.000	194.01164	0.000	205.00627	204.01524	204.00885	234.10010	
RAD	6	11	208.01895	0.005	212.01584	0.000	211.03166	0.000	201.02879	0.000	226.02100	226.02179	226.00502	253.10610	
RAD	6	12	202.03561	0.005	207.04263	0.005	209.03320	0.000	203.02554	0.000	226.01328	226.01358	227.00835	247.10468	
RAD	6	13	210.06934	0.000	222.05025	0.000	214.06581	0.000	200.10375	0.000	237.03951	240.03499	239.03445	272.14595	
RAD	6	14	206.06187	0.000	207.02327	0.000	198.05061	0.000	192.04001	0.000	224.02362	224.02379	224.02379	249.12629	
RAD	6	15	177.05826	0.000	170.03653	0.000	185.04845	0.000	177.03037	0.005	201.04158	202.02518	201.04158	228.14921	
RAD	6	16	192.09576	0.000	192.04739	0.000	189.07385	0.000	201.00761	0.000	219.00330	219.00330	219.01218	248.12073	
RAD	6	17	210.07288	0.000	203.02686	0.000	210.03014	0.000	198.05631	0.000	229.02762	231.03345	227.04431	257.16847	
RAD	6	18	166.11417	0.005	165.11026	0.000	169.09668	0.000	174.12505	0.000	188.07199	188.07208	189.07208	213.15693	
RAD	6	19	185.09587	0.000	187.07025	0.000	196.07051	0.000	190.07689	0.000	216.02179	216.02812	215.02626	245.10734	
RAD	6	20	209.03497	0.000	204.06216	0.000	209.03195	0.000	200.05476	0.000	231.02091	229.02588	229.03064	260.14257	
R	7	1	335.16177	0.010	335.14987	0.000	329.12439	0.000	337.14841	0.000	362.14429	362.13925	362.13474	362.30150	
R	7	2	385.07105	0.010	377.05969	0.000	378.06867	0.000	379.06912	0.005	411.03738	411.04028	406.05484	417.17573	
R	7	3	420.06882	0.005	423.07306	0.000	430.05612	0.000	426.05331	0.000	446.04385	447.03919	446.03867	449.16110	
R	7	4	439.04166	0.000	436.05643	0.000	442.04251	0.000	432.04376	0.000	461.03012	461.03308	457.03006	466.09482	
R	7	5	417.05029	0.005	425.05161	0.005	416.05862	0.000	403.07248	0.000	442.03232	442.03482	440.03339	456.12041	
R	7	6	414.05463	0.000	419.03845	0.000	418.03995	0.000	416.05862	0.000	440.02466	439.02832	436.03061	452.04009	
R	7	7	442.05045	0.000	444.04733	0.000	443.04981	0.000	444.04150	0.005	466.01758	465.03189	463.02255	482.07132	
R	7	8	460.06131	0.000	465.05634	0.000	465.05301	0.005	462.05573	0.000	479.02194	478.03217	475.02701	484.07439	
R	7	9	449.09070	0.005	446.08579	0.000	455.05145	0.000	451.08029	0.000	467.03684	467.04059	466.04056	472.12500	
R	7	10	355.06119	0.000	349.05713	0.000	345.06787	0.000	346.08203	0.000	365.03287	366.02853	363.02597	374.05044	
R	7	11	424.04303	0.005	429.04923	0.000	425.06381	0.000	415.08081	0.000	444.01987	445.01779	441.02350	452.05446	
R	7	12	382.03476	0.005	381.02203	0.000	381.02881	0.005	381.03604	0.000	395.02750	395.02408	392.03799	401.05497	
R	7	13	349.03543	0.000	347.05533	0.000	349.05808	0.000	340.07889	0.005	372.03702	373.02075	369.03262	383.09817	
R	7	14	365.06470	0.000	379.06021	0.000	377.05920	0.000	370.09430	0.000	399.04337	399.04251	397.04669	415.07123	
R	7	15	400.13077	0.005	397.09479	0.000	394.11163	0.000	385.12882	0.000	425.06302	427.06558	421.06738	442.10574	
R	7	16	434.07269	0.000	427.09815	0.005	431.08853	0.005	428.08508	0.000	476.04544	474.04779	473.04959	500.08650	
R	7	17	393.09317	0.000	401.06732	0.000	387.08472	0.000	389.08917	0.000	421.05008	423.02887	418.03946	434.09327	
R	7	18	395.05594	0.005	395.07089	0.000	399.06589	0.000	398.06879	0.005	421.04038	422.03711	421.02719	428.10272	
R	7	19	385.06577	0.000	386.06473	0.000	394.05103	0.000	375.07248	0.000	413.03894	415.03073	411.04312	428.07803	
R	7	20	434.05951	0.000	442.06714	0.000	444.04761	0.000	433.06583	0.000	475.02805	475.03177	471.04196	492.08185	
C	7	1	346.13553	0.010	354.11108	0.005	332.12009	0.000	340.14261	0.000	386.10025	386.09580	385.09552	388.23488	
C	7	2	373.08215	0.010	388.04611	0.000	375.06021	0.000	368.09964	0.000	421.04160	422.03586	421.02994	424.22121	
C	7	3	415.08200	0.000	420.07349	0.000	427.05673	0.000	413.07748	0.000	446.03207	446.03040	445.02741	453.15175	
C	7	4	470.06213	0.015	466.06769	0.000	468.05255	0.000	466.04556	0.005	487.03873	487.04349	484.04407	490.14982	
C	7	5	410.12729	0.000	415.09702	0.000	418.10861	0.000	407.09110	0.000	435.06555	439.03342	436.04828	443.14468	
C	7	6	424.04453	0.005	427.06296	0.000	433.04572	0.000	425.07263	0.000	452.03027	452.03302	444.04074	463.08164	
C	7	7	435.05316	0.000	430.05145	0.005	433.04694	0.000	428.06232	0.000	451.02551	451.03491	449.03748	455.13240	
C	7	8	418.02506	0.000	426.03363	0.000	420.05411	0.005	419.03769	0.000	433.02435	434.01975	430.04013	437.12572	
C	7	9	417.06967	0.005	425.05237	0.000	418.08466	0.000	419.06033	0.005	440.03235	442.02533	439.03406	443.16968	
C	7	10	404.08902	0.015	406.05466	0.000	404.07129	0.000	406.08371	0.000	418.04297	419.02921	418.01938	422.11096	
C	7	11	459.04871	0.005	467.03397	0.000	467.05103	0.000	456.05588	0.000	477.01740	476.02966	475.02271	480.11461	
C	7	12	451.03598	0.000	451.04770	0.005	458.04294	0.005	445.08252	0.000	471.02527	472.01715	469.02863	477.09118	
C	7	13	391.09116	0.005	391.08246	0.000	382.08344	0.000	369.11038	0.005	413.04108	412.03873	412.03134	424.10341	
C	7	14	397.08948	0.000	398.08936	0.000	397.08566	0.000	380.08572	0.000	420.04138	420.03616	419.05179	423.16051	
C	7	15	402.06235	0.005	390.08456	0.000	401.06696	0.000	397.08319	0.000	416.04230	417.04181	414.05612	424.08100	
C	7	16	433.06125	0.000	434.07864	0.000	440.06052	0.005	421.05206	0.000	464.03897	462.03693	462.03381	477.12369	
C	7	17	423.08545	0.010	426.09573	0.005	426.09543	0.000	420.08402	0.000	466.05454	468.04770	463.06027	481.11070	
C	7	18	452.06830	0.000	461.05289	0.000	454.06772	0.000	446.08749	0.000	489.02817	488.03384	486.03137	499.12334	
C	7	19	378.05951	0.005	380.06345	0.000	381.07895	0.000	365.07932	0.000	405.04584	405.04520	403.02780	414.12354	
C	7	20	424.08643	0.000	428.07196	0.000	423.05655	0.005	412.08173	0.000	449.05090	449.03397	448.04651	456.14839	
RC	7	1	318.11343	0.015	316.14414	0.000	331.08740	0.000	322.12451	0.000	358.10410	353.10730	354.10141	368.26937	
RC	7	2	349.07828	0.000	364.05496	0.005	364.10785	0.005	351.08093	0.000	392.01639	393.04266	389.04453	401.22254	
RC	7	3	359.07269	0.000	365.08725	0.000	366.08179	0.000	365.08136	0.000	396.03104	396.03534	390.03717	405.14453	
RC	7	4	374.04001	0.000	374.05426	0.000	380.03204	0.000	362.07126	0.005	393.02564	393.02823	390.04276	403.10742	
RC	7	5	426.05734	0.005	405.05331	0.000	402.08371	0.005	409.07092	0.000	447.03436	445.03323	445.02161	464.12232	
RC	7	6	402.04129	0.000	397.07803	0.000	398.05884	0.000	403.06174	0.000	427.03525	428.02115	422.05283	444.10986	
RC	7	7	432.07883	0.000	438.06747	0.000	439.05252	0.000	430.06970	0.000	466.02896	464.03873	463.03336	478.10351	
RC	7	8	437.06754	0.005	437.07159	0.005	442.07181	0.000	433.08475	0.000	460.02402	462.01367	454.04785	471.09463	
RC	7	9	404.05478	0.000	404.05359	0.000	400.06677	0.000	396.10248	0.000	422.02432	421.03073	420.02164	428.12832	
RC	7	10	402.05707	0.000	405.06189	0.000	407.03629	0.000	397.07578	0.000	419.03000	419.02948	415.03888	423.11060	
RC	7	11	393.05277	0.005	392.05997	0.000	395.03500	0.005	386.06027	0.000	409.01437	409.02542	407.02301	417.08729	
RC	7	12	432.04816	0.000	433.04105	0.000	426.05542	0.000	422.05890	0.000	443.01907	443.02289	441.02765	450.08910	
RC	7	13	371.06598	0.000	379.06058	0.005	379.07632	0.000	360.07663	0.000	399.02823	400.03845	397.04132	416.12454	
RC	7	14	373.04770	0.005	370.09515	0.000	374.05945	0.000	364.08600	0.000	393.03983	395.04092	390.05100	404.14438	
RC	7	15	417.06073	0.000	409.07623	0.000	411.06378	0.005	397.08896	0.005	434.03894	434.03018	428.06155	442.12633	
RC	7	16	424.07504	0.000	407.09052	0.005	420.07785	0.000	410.08923	0.000	454.04501	455.04810	452.04837	479.11831	
RC	7	17	367.06534	0.000	368.06189	0.000	374.08106	0.000	369.07275	0.000	388.04138	389.02640	386.05383	396.13345	
RC	7	18	399.08304	0.005	398.07721	0.000	407.05988	0.000	398.09122	0.000	427.04880	428.03705	421.05972	439.11646	
RC	7	19	429.06827	0.000	427.04981	0.000	415.07147	0.005	408.10260	0.000	454.03943	455.03223	450.05576	469.12786	
RC	7	20	331.10220	0.000	338.08478	0.005	347.08148	0.000	341.07105	0.005	366.03095	365.04492	365.05301	384.12055	
RAD	7	1	349.09473	0.015	334.11710	0.000	323.07416	0.000	334.11798	0.000	382.08243	382.08148	382.08148	393.21934	
RAD	7	2	367.08917	0.010	366.07636	0.000	347.10043	0.000	342.12018	0.000	397.04926	397.03906	396.04807	402.24597	
RAD	7	3	389.04495	0.000	394.05222	0.005	386.08551	0.005	381.05255	0.000	411.02371	411.03214	409.03375	429.09174	
RAD	7	4	423.04825	0.005	417.05872	0.000	428.02185	0.000	401.05585	0.000	446.01349	446.01868	442.02258	458.10969	
RAD	7	5	376.09839	0.005	379.06387	0.000	373.10349	0.000	365.09598	0.005	407.04724	409.03912	403.04703	435.11533	
RAD	7	6	365.05191	0.005	363.03543	0.005	364.04898	0.000	367.05158	0.000	391.03220	391.03128	391.02353	402.12194	
RAD	7	7	412.03565	0.005	409.03738	0.000	411.02911	0.000	395.05499	0.000	433.02301	434.01630	433.00992	448.10254	
RAD	7	8	382.03848	0.000	388.04901	0.000	375.05112	0.005	375.05649	0.000	404.02292	404.02380	402.01492	418.09677	
RAD	7	9	382.07141	0.010	386.04996	0.000	384.05896	0.000	381.06186	0.005	394.04550	395.02603	393.04343	399.14455	
RAD	7	10	408.05411	0.005	407.03125	0.005	410.03952	0.000	405.05444	0.000	431.01688	431.02493	429.01923	440.10873	
RAD	7	11	419.04654	0.010	404.03970	0.000	421.02588	0.000	410.05765	0.000	437.01694	438.01242	435.01862	454.09831	
RAD	7	12	410.03067	0.000	405.03568	0.000	407.03851	0.005	404.03546	0.000	425.02878	426.01975	422.02350	437.09891	
RAD	7	13	436.06674	0.005	434.07349	0.000	438.05997	0.000	412.07721	0.000	469.04144	471.03037	465.03757	488.14312	
RAD	7	14	404.07172	0.000	408.05966	0.000	404.05734	0.000	397.06125	0.005	438.02408	437.03119	435.03284	456.08802	
RAD	7	15	373.07443	0.010	374.08545	0.005	371.08423	0.000	362.07806	0.000	405.03851	404.04974	401.04572	425.12690	
RAD	7	16	471.06464	0.010	466.04376	0.000	474.04645	0.005	471.05609	0.000	506.01752	506.02112	503.02145	529.10995	
RAD	7	17	391.07843	0.005	382.09677	0.000	386.10690	0.000	375.11523	0.000	421.04248	421.03888	420.04004	430.16496	
RAD	7	18	349.05322	0.010	355.05917	0.000	351.06900	0.000	345.05518	0.005	369.03900	370.03467	368.04099	383.12923	
RAD	7	19	405.07590	0.000	406.10635	0.000	413.08276	0.000	397.08228	0.000	439.05048	440.04083	437.04831	460.12900	
RAD	7	20	380.07697	0.000	378.07947	0.000	369.07825	0.000	370.09000	0.000	410.03839	410.03644	408.04404	423.11393	
R	8	1	319.07556	0.010	338.07352	0.000	341.06632	0.005	340.08646	0.000	371.05307	371.05307	366.05325	379.20850	
R	8	2	395.03464	0.010	402.03983	0.000	414.04578	0.000	387.06189	0.000	437.02329	443.02487	442.02295	480.10551	
R	8	3	412.05542	0.010	408.03528	0.000	405.06497	0.000	400.06479	0.005	444.02841	443.01727	441.03375	492.53310	
R	8	4	419.02283	0.000	416.04483	0.005	427.03589	0.000	414.04776	0.000	453.00717	455.01559	450.02243	483.28973	
R	8	5	396.04984	0.005	403.04028	0.000	396.05060	0.005	392.04941	0.000	427.03018	428.02539	421.03177	463.16008	
R	8	6	413.02933	0.005	422.02765	0.000	420.02777	0.000	410.05881	0.005	454.02277	458.00824	449.01926	503.51738	
R	8	7	382.03433	0.010	378.03891	0.005	378.04428	0.000	377.02707	0.000	406.01993	407.02679	402.02622	436.15341	
R	8	8	421.03964	0.000	430.03415	0.000	421.03699	0.005	424.03906	0.000	459.02411	459.01251	457.01733	496.02281	
R	8	9	392.04001	0.000	389.05032	0.000	387.04297	0.000	392.02304	0.005	418.02091	416.02203	415.02582	449.06583	
R	8	10	369.05783	0.005	372.03833	0.000	372.03812	0.000	372.06412	0.000	405.01251	406.01553	400.01895	437.02602	
R	8	11	405.02448	0.000	416.02972	0.005	418.03738	0.005	397.05328	0.000	441.01584	441.01233	440.01062	473.19540	
R	8	12	405.04688	0.000	419.03998	0.000	409.06207	0.000	402.06097	0.005	438.02246	440.01471	437.01437	464.03308	
R	8	13	350.05829	0.005	355.09183	0.000	358.06052	0.000	352.06409	0.000	385.05521	386.06131	383.04767	425.05881	
R	8	14	392.05008	0.000	390.04163	0.000	401.05286	0.000	382.04193	0.000	427.03226	425.03568	421.02933	468.04402	
R	8	15	416.03018	0.005	417.05389	0.005	408.05466	0.005	402.07459	0.000	456.02826	457.01978	452.02277	517.05556	
R	8	16	387.07242	0.005	390.06000	0.000	396.05396	0.000	384.05902	0.005	430.01807	431.03101	426.03146	474.02059	
R	8	17	365.04459	0.000	364.05524	0.000	353.04749	0.000	361.04965	0.000	401.02210	399.02048	397.03223	436.05900	
R	8	18	366.06714	0.000	365.08035	0.000	355.07999	0.005	362.07324	0.000	395.03571	400.02994	395.02554	434.04663	
R	8	19	392.04767	0.005	395.05399	0.005	382.03919	0.000	382.04102	0.000	426.02634	431.01328	423.01654	474.37336	
R	8	20	415.06247	0.000	421.05768	0.000	421.07010	0.000	417.06583	0.005	460.01971	458.04028	452.04263	499.26528	
C	8	1	307.04611	0.005	299.05646	0.000	307.05591	0.000	296.04709	0.000	343.03195	344.03043	341.02826	350.23640	
C	8	2	370.06351	0.000	372.06802	0.005	374.07117	0.005	371.07434	0.000	418.02570	416.03397	412.03201	469.15775	
C	8	3	408.03806	0.005	395.04248	0.000	396.05551	0.000	402.05228	0.000	438.02399	437.01718	435.01480	491.50316	
C	8	4	399.03131	0.000	409.03973	0.000	412.03522	0.000	386.06265	0.005	434.02780	437.01624	431.02487	477.81850	
C	8	5	414.02524	0.000	406.02930	0.000	410.01505	0.000	408.03168	0.000	454.01013	446.02133	449.01425	507.13594	
C	8	6	395.04096	0.005	402.03815	0.005	391.04086	0.005	388.04688	0.000	434.03500	437.01846	431.02722	489.20566	
C	8	7	397.03229	0.000	408.02237	0.000	404.02994	0.000	390.05902	0.000	435.02158	436.01358	431.01877	476.55316	
C	8	8	444.03491	0.000	455.01938	0.000	446.02756	0.000	436.02463	0.005	479.01169	481.00873	477.01471	528.80513	
C	8	9	423.05811	0.005	430.02698	0.000	433.05365	0.005	426.04218	0.000	463.03632	464.02277	459.02631	500.38858	
C	8	10	399.03748	0.000	407.03897	0.000	412.03714	0.000	410.02008	0.000	444.01953	444.01688	438.01532	482.92554	
C	8	11	413.02667	0.000	409.05084	0.000	421.03064	0.000	411.05893	0.005	445.01679	445.02823	445.01819	480.73081	
C	8	12	444.03095	0.000	446.02707	0.000	440.02679	0.000	435.03409	0.000	465.01379	467.01276	460.02014	499.10227	
C	8	13	397.04416	0.000	393.06158	0.005	384.06165	0.005	391.06079	0.000	428.04727	431.02814	424.02951	473.41243	
C	8	14	357.05866	0.005	352.03479	0.000	350.06711	0.000	360.06323	0.005	395.02103	393.01779	388.03378	430.08128	
C	8	15	389.03702	0.000	409.02731	0.000	399.05203	0.000	388.03943	0.000	440.01068	440.02383	438.01770	492.06581	
C	8	16	326.09903	0.000	346.07513	0.000	351.07129	0.000	339.06952	0.000	381.03540	378.04898	373.05017	431.77880	
C	8	17	369.08704	0.000	363.10150	0.005	364.09924	0.000	363.08737	0.000	395.06418	398.06149	394.05118	442.09879	
C	8	18	400.05185	0.005	391.05237	0.000	411.04456	0.000	397.05130	0.005	439.02814	443.03400	436.02661	482.13526	
C	8	19	415.04672	0.000	414.04373	0.000	410.04749	0.005	423.04318	0.000	462.04157	464.03485	459.02951	521.07370	
C	8	20	402.05502	0.005	402.06360	0.005	402.06570	0.000	376.09073	0.000	439.03812	439.03369	442.01370	480.13160	
RC	8	1	328.07428	0.015	318.07892	0.000	327.06220	0.000	309.06561	0.000	364.04822	366.04694	357.04401	370.21862	
RC	8	2	373.03851	0.005	367.08313	0.000	370.07544	0.005	364.07184	0.000	413.04010	415.04657	411.03604	453.08653	
RC	8	3	392.01990	0.000	380.04086	0.000	401.04181	0.000	381.04492	0.000	437.02045	436.01321	435.01099	484.18110	
RC	8	4	407.03531	0.005	413.04907	0.005	417.02747	0.000	419.03803	0.000	454.02234	454.01733	451.02792	501.10760	
RC	8	5	402.03757	0.000	414.04587	0.000	410.04593	0.000	382.02890	0.000	455.02106	455.01071	457.03119	506.75083	
RC	8	6	356.05832	0.000	356.05090	0.000	358.03635	0.000	347.05179	0.000	388.01733	389.03241	386.02219	428.06675	
RC	8	7	366.03534	0.005	369.02481	0.000	371.02936	0.000	363.02768	0.005	392.01395	391.01666	390.01404	424.40105	
RC	8	8	407.03601	0.000	434.04245	0.005	432.03793	0.000	417.03421	0.000	457.02637	456.02820	457.01523	486.61937	
RC	8	9	435.04919	0.005	424.05585	0.000	428.06677	0.005	431.07159	0.000	469.03778	469.02683	469.02972	507.13590	
RC	8	10	389.02890	0.000	395.03653	0.000	396.03342	0.000	388.05542	0.005	431.01318	427.01971	425.01209	459.07577	
RC	8	11	384.03552	0.000	381.02960	0.005	381.03986	0.000	372.04111	0.000	406.01627	405.02219	404.02087	434.37842	
RC	8	12	402.05371	0.005	408.03406	0.000	405.03873	0.005	407.04919	0.000	430.01709	432.01874	426.02426	458.09625	
RC	8	13	337.05579	0.000	322.05170	0.000	316.04843	0.000	320.05750	0.000	362.01788	365.02786	364.02130	399.83133	
RC	8	14	398.08344	0.005	396.06332	0.000	401.07047	0.000	387.07794	0.005	444.04623	447.05219	440.05777	498.11948	
RC	8	15	372.05740	0.000	366.08066	0.005	376.07822	0.005	374.06955	0.000	415.03287	419.04178	414.03479	461.11161	
RC	8	16	350.06158	0.005	377.04981	0.000	375.06430	0.000	350.06955	0.000	414.02875	416.02765	411.02185	462.12241	
RC	8	17	423.04160	0.000	417.06403	0.000	432.05338	0.000	428.05499	0.000	467.02939	471.01334	458.03534	510.07754	
RC	8	18	368.07901	0.005	372.09500	0.000	377.07010	0.005	375.07877	0.000	415.06149	416.03574	412.05853	451.86420	
RC	8	19	357.05530	0.000	387.02280	0.005	374.02759	0.000	370.04068	0.000	424.01199	425.01907	417.03162	455.07112	
