			STT	STT	NT	NT	Cluster	Cluster	XC	XC	BRKGA-STT	BRKGA-Cluster	BRKGA-A	Best Upper Bound	Optimum
Geographic Distribution	case	Instance	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	object funcion value	object funcion value	object funcion value	object funcion value
RAD	1	10	53.04175	0.015	60.05092	0.000	53.04175	0.000	59.06593	0.000	60.08425	60.08425	60.08425	64.14970	60.08425
RAD	1	11	62.07174	0.000	62.06464	0.000	62.06758	0.000	58.10272	0.000	62.07174	62.07174	62.07174	65.13056	62.07174
RAD	1	12	81.03938	0.005	75.02139	0.000	81.03938	0.000	73.07193	0.000	81.04079	81.04079	81.04079	89.06176	81.04079
RAD	1	13	58.11174	0.005	56.11340	0.000	56.11340	0.000	55.14037	0.000	58.12622	58.12622	58.12622	59.24909	58.12622
RAD	1	14	48.10555	0.010	51.08890	0.000	52.05143	0.000	49.08384	0.000	54.05308	54.05308	54.05308	55.26224	54.05308
RAD	1	15	53.04165	0.000	53.04165	0.000	53.04165	0.000	48.06986	0.000	54.06977	54.06977	54.06977	54.29633	54.06977
RAD	1	16	58.08061	0.005	58.08061	0.000	61.09179	0.000	59.12463	0.000	64.07235	64.07235	64.07235	66.20507	64.07235
RAD	1	17	44.51744	0.000	44.51744	0.000	41.03927	0.000	40.06858	0.000	44.52515	44.52515	44.52515	46.20347	44.52515
RAD	1	18	35.68607	0.010	37.60799	0.000	37.60799	0.000	34.59907	0.000	38.57046	38.57046	38.57046	40.73606	38.57046
RAD	1	19	18.49733	0.010	19.25584	0.000	19.25584	0.000	19.78418	0.000	22.08975	22.08975	22.08975	24.79623	22.08975
RAD	1	20	62.09346	0.005	61.05464	0.000	61.05464	0.000	59.09576	0.000	64.05494	64.05494	64.05494	64.38724	64.05494
R	2	1	71.05380	0.010	71.05380	0.000	71.05380	0.000	70.01466	0.005	71.05380	71.05380	71.05380	71.24089	71.05380
R	2	2	67.11636	0.010	69.11153	0.000	69.11153	0.000	67.12396	0.000	75.01142	75.01142	75.01142	79.12531	75.01142
R	2	3	79.01534	0.005	80.04735	0.000	80.04735	0.000	78.06588	0.000	85.05259	85.05259	85.05259	95.06851	85.05259
R	2	4	76.02592	0.005	77.06637	0.000	77.06637	0.000	76.03275	0.000	85.01242	85.01242	85.01242	92.06249	85.01242
R	2	5	27.14582	0.005	28.03318	0.005	28.07229	0.000	28.07670	0.000	29.72451	29.72451	29.72451	32.08459	29.72451
R	2	6	83.07725	0.010	83.07725	0.000	86.05637	0.000	86.05637	0.000	88.04023	88.04023	88.04023	98.06168	88.04023
R	2	7	75.01655	0.005	76.02052	0.000	79.03666	0.000	76.03124	0.000	80.00204	79.03666	79.03666	87.06896	80.00204
R	2	8	78.08453	0.005	78.04767	0.000	78.04767	0.000	76.04763	0.000	85.01324	85.01324	85.01324	93.05394	85.01324
R	2	9	71.05648	0.005	74.00827	0.000	74.00827	0.000	69.10830	0.000	74.04636	74.04636	74.04636	81.12355	74.04636
R	2	10	89.05302	0.010	90.07418	0.000	90.07418	0.000	92.06036	0.000	99.01230	99.01230	99.01230	105.06545	99.01230
R	2	11	95.08832	0.015	100.08847	0.000	100.09204	0.000	97.03078	0.000	104.05331	104.05331	104.05331	116.04713	104.05331
R	2	12	80.03172	0.000	80.02883	0.000	80.02883	0.005	77.01643	0.000	81.01234	81.01234	81.01234	87.04260	81.01234
R	2	13	74.08900	0.010	73.04488	0.000	70.09321	0.000	68.08215	0.000	76.02979	76.02979	76.02979	87.06223	76.02979
R	2	14	85.06471	0.005	87.12498	0.000	87.12498	0.000	90.03289	0.000	94.15113	94.15113	94.15113	110.08496	94.15113
R	2	15	46.02242	0.010	42.03534	0.000	42.03534	0.000	41.54120	0.000	47.54270	47.54270	47.54270	53.09887	47.54270
